transaction_id,timestamp,platform,purchased_currency,sold_currency,purchased_qty,sold_qty,fee_currency,fee_qty,purchased_currency_spot_price_usd,sold_currency_spot_price_usd,tx_notes
,2020-10-26T12:42:32Z,Coinbase,BTC,LTC,0.02603154,6.04557697,USD,7.45,,57.8,Converted 6.04557697 LTC to 0.02603154 BTC
,2020-10-26T12:43:10Z,Coinbase,BTC,XRP,0.00075647,40,USD,0.19,,0.25,Converted 40.0000 XRP to 0.00075647 BTC
,12/21/17 23:38,Binance,XRP,ETH,393,0.53841,XRP,0.393,,742.53,
,12/21/17 23:44,Binance,XRP,ETH,1402,1.96981,XRP,1.402,,742.53,
,1/7/18 23:13,Binance,ETH,WAVES,0.782768,67.48,ETH,0.00078277,1075,,
,1/7/18 23:15,Binance,NEBL,ETH,34.49,0.782923,NEBL,0.03449,24.405,,
,1/7/18 23:20,Binance,ETH,XRP,0.3907416,157,ETH,0.00039075,1075.47,,
,1/7/18 23:23,Binance,ETH,XRP,0.7292229,294,ETH,0.00072922,1088.556051,,
,1/7/18 23:24,Binance,ARK,ETH,153.75,1.11883875,ARK,0.15375,7.822775,,
,11/5/20 15:53,Binance,BTC,ARK,0.00303065,154,BTC,0.00000304,15026.15,,
,11/5/20 15:50,Binance,ETH,NEBL,0.02925322,34.45,ETH,0.00002928,413.41,,
,2020-12-27T16:43:52Z,Coinbase,ETH,XLM,10.8352329,51809.6026,USD,169.98,,0.15,"Converted 51,809.6025992 XLM to 10.83352329 ETH"
,2021-02-06T14:29:52Z,Coinbase,LINK,BTC,382.238029,0.247258,USD,176.74,,40443.54,Converted 0.247258 BTC to 382.23802898 LINK
,2021-03-03T16:25:07Z,Coinbase,USD,BTC,1.96,0.00003811,,0,,51305.3,Sent 0.00023324 BTC to 3N3SW8HhqJSL5694AefdMfGt6XfAGC9DYb
,2021-03-03T16:44:11Z,Coinbase,USD,BTC,1.95,0.0000381,,0,,51063.28,Sent 6.79470799 BTC to 3N3SW8HhqJSL5694AefdMfGt6XfAGC9DYb
,2021-03-03T16:27:22Z,Coinbase,USD,ETH,6.77,0.0042,,0,,1612.52,Sent 0.01039364 ETH to 0x48b68130088361600B230990f57A37E3BFd2b2Ea
,2021-03-03T16:35:57Z,Coinbase,USD,ETH,7.18,0.004452,,0,,1612.96,Sent 171.84764146 ETH to 0x48b68130088361600B230990f57A37E3BFd2b2Ea
